collected_date,repo,referrer,views,uniques
2026-02-06,osa-data,github.com,13,2
2026-02-06,osa-data,opensecurityarchitecture.org,2,1
2026-02-06,osa-data,new.opensecurityarchitecture.org,1,1
2026-02-06,osa-website,github.com,6,1
2026-02-19,osa-data,github.com,284,49
2026-02-19,osa-data,opensecurityarchitecture.org,188,52
2026-02-19,osa-data,Google,10,5
2026-02-19,osa-data,new.opensecurityarchitecture.org,1,1
2026-02-19,osa-website,github.com,31,2
2026-02-19,osa-website,opensecurityarchitecture.org,2,1
